date,Year,Month,country,confirmed
16-02-2020,2020,16-Feb-20,Argentina,0
16-02-2020,2020,16-Feb-20,Canada,7
16-02-2020,2020,16-Feb-20,China,70513
16-02-2020,2020,16-Feb-20,France,12
16-02-2020,2020,16-Feb-20,Germany,16
16-02-2020,2020,16-Feb-20,India,3
16-02-2020,2020,16-Feb-20,Iran,0
16-02-2020,2020,16-Feb-20,Iraq,0
16-02-2020,2020,16-Feb-20,Italy,3
16-02-2020,2020,16-Feb-20,Spain,2
16-02-2020,2020,16-Feb-20,US,13
16-02-2020,2020,16-Feb-20,United Kingdom,9
17-02-2020,2020,17-Feb-20,Argentina,0
17-02-2020,2020,17-Feb-20,Canada,8
17-02-2020,2020,17-Feb-20,China,72434
17-02-2020,2020,17-Feb-20,France,12
17-02-2020,2020,17-Feb-20,Germany,16
17-02-2020,2020,17-Feb-20,India,3
17-02-2020,2020,17-Feb-20,Iran,0
17-02-2020,2020,17-Feb-20,Iraq,0
17-02-2020,2020,17-Feb-20,Italy,3
17-02-2020,2020,17-Feb-20,Spain,2
17-02-2020,2020,17-Feb-20,US,13
17-02-2020,2020,17-Feb-20,United Kingdom,9
18-02-2020,2020,18-Feb-20,Argentina,0
18-02-2020,2020,18-Feb-20,Canada,8
18-02-2020,2020,18-Feb-20,China,74211
18-02-2020,2020,18-Feb-20,France,12
18-02-2020,2020,18-Feb-20,Germany,16
18-02-2020,2020,18-Feb-20,India,3
18-02-2020,2020,18-Feb-20,Iran,0
18-02-2020,2020,18-Feb-20,Iraq,0
18-02-2020,2020,18-Feb-20,Italy,3
18-02-2020,2020,18-Feb-20,Spain,2
18-02-2020,2020,18-Feb-20,US,13
18-02-2020,2020,18-Feb-20,United Kingdom,9
19-02-2020,2020,19-Feb-20,Argentina,0
19-02-2020,2020,19-Feb-20,Canada,8
19-02-2020,2020,19-Feb-20,China,74619
19-02-2020,2020,19-Feb-20,France,12
19-02-2020,2020,19-Feb-20,Germany,16
19-02-2020,2020,19-Feb-20,India,3
19-02-2020,2020,19-Feb-20,Iran,2
19-02-2020,2020,19-Feb-20,Iraq,0
19-02-2020,2020,19-Feb-20,Italy,3
19-02-2020,2020,19-Feb-20,Spain,2
19-02-2020,2020,19-Feb-20,US,13
19-02-2020,2020,19-Feb-20,United Kingdom,9
20-02-2020,2020,20-Feb-20,Argentina,0
20-02-2020,2020,20-Feb-20,Canada,8
20-02-2020,2020,20-Feb-20,China,75077
20-02-2020,2020,20-Feb-20,France,12
20-02-2020,2020,20-Feb-20,Germany,16
20-02-2020,2020,20-Feb-20,India,3
20-02-2020,2020,20-Feb-20,Iran,5
20-02-2020,2020,20-Feb-20,Iraq,0
20-02-2020,2020,20-Feb-20,Italy,3
20-02-2020,2020,20-Feb-20,Spain,2
20-02-2020,2020,20-Feb-20,US,13
20-02-2020,2020,20-Feb-20,United Kingdom,9
21-02-2020,2020,21-Feb-20,Argentina,0
21-02-2020,2020,21-Feb-20,Canada,9
21-02-2020,2020,21-Feb-20,China,75550
21-02-2020,2020,21-Feb-20,France,12
21-02-2020,2020,21-Feb-20,Germany,16
21-02-2020,2020,21-Feb-20,India,3
21-02-2020,2020,21-Feb-20,Iran,18
21-02-2020,2020,21-Feb-20,Iraq,0
21-02-2020,2020,21-Feb-20,Italy,20
21-02-2020,2020,21-Feb-20,Spain,2
21-02-2020,2020,21-Feb-20,US,15
21-02-2020,2020,21-Feb-20,United Kingdom,9
22-02-2020,2020,22-Feb-20,Argentina,0
22-02-2020,2020,22-Feb-20,Canada,9
22-02-2020,2020,22-Feb-20,China,77001
22-02-2020,2020,22-Feb-20,France,12
22-02-2020,2020,22-Feb-20,Germany,16
22-02-2020,2020,22-Feb-20,India,3
22-02-2020,2020,22-Feb-20,Iran,28
22-02-2020,2020,22-Feb-20,Iraq,0
22-02-2020,2020,22-Feb-20,Italy,62
22-02-2020,2020,22-Feb-20,Spain,2
22-02-2020,2020,22-Feb-20,US,15
22-02-2020,2020,22-Feb-20,United Kingdom,9
23-02-2020,2020,23-Feb-20,Argentina,0
23-02-2020,2020,23-Feb-20,Canada,9
23-02-2020,2020,23-Feb-20,China,77022
23-02-2020,2020,23-Feb-20,France,12
23-02-2020,2020,23-Feb-20,Germany,16
23-02-2020,2020,23-Feb-20,India,3
23-02-2020,2020,23-Feb-20,Iran,43
23-02-2020,2020,23-Feb-20,Iraq,0
23-02-2020,2020,23-Feb-20,Italy,155
23-02-2020,2020,23-Feb-20,Spain,2
23-02-2020,2020,23-Feb-20,US,15
23-02-2020,2020,23-Feb-20,United Kingdom,9
24-02-2020,2020,24-Feb-20,Argentina,0
24-02-2020,2020,24-Feb-20,Canada,10
24-02-2020,2020,24-Feb-20,China,77241
24-02-2020,2020,24-Feb-20,France,12
24-02-2020,2020,24-Feb-20,Germany,16
24-02-2020,2020,24-Feb-20,India,3
24-02-2020,2020,24-Feb-20,Iran,61
24-02-2020,2020,24-Feb-20,Iraq,1
24-02-2020,2020,24-Feb-20,Italy,229
24-02-2020,2020,24-Feb-20,Spain,2
24-02-2020,2020,24-Feb-20,US,15
24-02-2020,2020,24-Feb-20,United Kingdom,13
25-02-2020,2020,25-Feb-20,Argentina,0
25-02-2020,2020,25-Feb-20,Canada,11
25-02-2020,2020,25-Feb-20,China,77754
25-02-2020,2020,25-Feb-20,France,14
25-02-2020,2020,25-Feb-20,Germany,17
25-02-2020,2020,25-Feb-20,India,3
25-02-2020,2020,25-Feb-20,Iran,95
25-02-2020,2020,25-Feb-20,Iraq,1
25-02-2020,2020,25-Feb-20,Italy,322
25-02-2020,2020,25-Feb-20,Spain,6
25-02-2020,2020,25-Feb-20,US,15
25-02-2020,2020,25-Feb-20,United Kingdom,13
26-02-2020,2020,26-Feb-20,Argentina,0
26-02-2020,2020,26-Feb-20,Canada,11
26-02-2020,2020,26-Feb-20,China,78166
26-02-2020,2020,26-Feb-20,France,18
26-02-2020,2020,26-Feb-20,Germany,27
26-02-2020,2020,26-Feb-20,India,3
26-02-2020,2020,26-Feb-20,Iran,139
26-02-2020,2020,26-Feb-20,Iraq,5
26-02-2020,2020,26-Feb-20,Italy,453
26-02-2020,2020,26-Feb-20,Spain,13
26-02-2020,2020,26-Feb-20,US,15
26-02-2020,2020,26-Feb-20,United Kingdom,13
27-02-2020,2020,27-Feb-20,Argentina,0
27-02-2020,2020,27-Feb-20,Canada,13
27-02-2020,2020,27-Feb-20,China,78600
27-02-2020,2020,27-Feb-20,France,38
27-02-2020,2020,27-Feb-20,Germany,46
27-02-2020,2020,27-Feb-20,India,3
27-02-2020,2020,27-Feb-20,Iran,245
27-02-2020,2020,27-Feb-20,Iraq,7
27-02-2020,2020,27-Feb-20,Italy,655
27-02-2020,2020,27-Feb-20,Spain,15
27-02-2020,2020,27-Feb-20,US,16
27-02-2020,2020,27-Feb-20,United Kingdom,15
28-02-2020,2020,28-Feb-20,Argentina,0
28-02-2020,2020,28-Feb-20,Canada,14
